casos,tos,dolor de garganta,fiebre,cansancio,dolor de cabeza,tengo covid,sintomas covid,test covid,prediction,fecha
1.0,27.0,4.0,17.0,2.0,12.0,0.0,0.0,0.0,4889,1/1/20
0.0,16.0,4.0,17.0,2.0,5.0,0.0,0.0,0.0,1044,2/1/20
1.0,23.0,7.0,19.0,3.0,6.0,0.0,0.0,0.0,2140,3/1/20
0.0,21.0,4.0,18.0,2.0,7.0,0.0,0.0,0.0,2577,4/1/20
0.0,16.0,5.0,15.0,2.0,10.0,0.0,0.0,0.0,1457,5/1/20
0.0,19.0,5.0,15.0,3.0,5.0,0.0,0.0,0.0,1739,6/1/20
0.0,18.0,6.0,17.0,1.0,7.0,0.0,0.0,0.0,1888,7/1/20
0.0,17.0,5.0,19.0,3.0,8.0,0.0,0.0,0.0,646,8/1/20
0.0,19.0,5.0,17.0,2.0,10.0,0.0,0.0,0.0,2101,9/1/20
1.0,15.0,4.0,17.0,3.0,9.0,0.0,0.0,0.0,523,10/1/20
1.0,22.0,5.0,21.0,3.0,13.0,0.0,0.0,0.0,2180,11/1/20
1.0,20.0,4.0,22.0,4.0,10.0,0.0,0.0,0.0,979,12/1/20
2.0,17.0,2.0,21.0,5.0,9.0,0.0,0.0,0.0,23,13/1/20
0.0,14.0,4.0,20.0,3.0,7.0,0.0,0.0,0.0,-357,14/1/20
1.0,18.0,5.0,19.0,4.0,7.0,0.0,0.0,0.0,500,15/1/20
1.0,14.0,3.0,22.0,4.0,5.0,0.0,0.0,0.0,-1027,16/1/20
1.0,17.0,5.0,18.0,3.0,8.0,0.0,0.0,0.0,799,17/1/20
2.0,17.0,6.0,18.0,3.0,12.0,0.0,0.0,0.0,854,18/1/20
0.0,18.0,4.0,28.0,3.0,7.0,0.0,0.0,0.0,-319,19/1/20
3.0,15.0,3.0,18.0,4.0,7.0,0.0,0.0,0.0,6,20/1/20
0.0,16.0,6.0,22.0,1.0,7.0,0.0,0.0,0.0,487,21/1/20
0.0,15.0,3.0,19.0,2.0,6.0,0.0,0.0,0.0,623,22/1/20
2.0,18.0,4.0,19.0,4.0,10.0,0.0,0.0,0.0,806,23/1/20
2.0,16.0,7.0,23.0,2.0,9.0,0.0,0.0,0.0,-125,24/1/20
1.0,19.0,9.0,25.0,2.0,9.0,0.0,0.0,0.0,214,25/1/20
2.0,19.0,6.0,27.0,2.0,10.0,0.0,0.0,0.0,414,26/1/20
1.0,17.0,4.0,25.0,4.0,10.0,0.0,0.0,0.0,-431,27/1/20
1.0,17.0,4.0,23.0,5.0,8.0,0.0,0.0,0.0,-638,28/1/20
4.0,20.0,4.0,21.0,4.0,8.0,0.0,0.0,0.0,1029,29/1/20
1.0,15.0,4.0,23.0,4.0,11.0,0.0,0.0,0.0,-706,30/1/20
3.0,15.0,5.0,20.0,4.0,9.0,0.0,0.0,0.0,-500,31/1/20
16.0,19.0,4.0,20.0,5.0,10.0,0.0,0.0,0.0,558,1/2/20
