casos;tos;dolor de garganta;fiebre;cansancio;dolor de cabeza;tengo covid;sintomas covid;test covid;prediction;fecha;Prediction 2
1.0;27.0;4.0;17.0;2.0;12.0;0.0;0.0;0.0;4.889.708.447.466.460;1/1/20;4890
0.0;16.0;4.0;17.0;2.0;5.0;0.0;0.0;0.0;1.044.256.267.555.490;2/1/20;1044
1.0;23.0;7.0;19.0;3.0;6.0;0.0;0.0;0.0;2.140.314.710.624.890;3/1/20;2140
0.0;21.0;4.0;18.0;2.0;7.0;0.0;0.0;0.0;25.776.211.124.065.000;4/1/20;25776
0.0;16.0;5.0;15.0;2.0;10.0;0.0;0.0;0.0;14.579.729.260.135.900;5/1/20;14580
0.0;19.0;5.0;15.0;3.0;5.0;0.0;0.0;0.0;17.390.297.706.410.700;6/1/20;17390
0.0;18.0;6.0;17.0;1.0;7.0;0.0;0.0;0.0;18.889.104.428.474.600;7/1/20;18889
0.0;17.0;5.0;19.0;3.0;8.0;0.0;0.0;0.0;6.462.430.574.906.060;8/1/20;6462
0.0;19.0;5.0;17.0;2.0;10.0;0.0;0.0;0.0;2.101.064.272.300.920;9/1/20;2101
1.0;15.0;4.0;17.0;3.0;9.0;0.0;0.0;0.0;5.230.436.320.432.670;10/1/20;5230
1.0;22.0;5.0;21.0;3.0;13.0;0.0;0.0;0.0;21.809.417.592.967.400;11/1/20;21809
1.0;20.0;4.0;22.0;4.0;10.0;0.0;0.0;0.0;9.795.753.678.825.540;12/1/20;9796
2.0;17.0;2.0;21.0;5.0;9.0;0.0;0.0;0.0;23.370.184.235.856.700;13/1/20;23370
0.0;14.0;4.0;20.0;3.0;7.0;0.0;0.0;0.0;-35.760.239.393.664.600;14/1/20;-35760
1.0;18.0;5.0;19.0;4.0;7.0;0.0;0.0;0.0;500.350.813.866.713;15/1/20;500
1.0;14.0;3.0;22.0;4.0;5.0;0.0;0.0;0.0;-1.027.428.447.418.230;16/1/20;-1027
1.0;17.0;5.0;18.0;3.0;8.0;0.0;0.0;0.0;7.997.952.896.246.170;17/1/20;7998
2.0;17.0;6.0;18.0;3.0;12.0;0.0;0.0;0.0;8.547.787.874.516.450;18/1/20;8548
0.0;18.0;4.0;28.0;3.0;7.0;0.0;0.0;0.0;-31.909.250.360.159.600;19/1/20;-31909
3.0;15.0;3.0;18.0;4.0;7.0;0.0;0.0;0.0;6.769.810.695.692.080;20/1/20;6770
0.0;16.0;6.0;22.0;1.0;7.0;0.0;0.0;0.0;4.876.854.084.738.360;21/1/20;4877
0.0;15.0;3.0;19.0;2.0;6.0;0.0;0.0;0.0;6.235.798.504.238.930;22/1/20;6236
2.0;18.0;4.0;19.0;4.0;10.0;0.0;0.0;0.0;8.067.681.905.810.180;23/1/20;8068
2.0;16.0;7.0;23.0;2.0;9.0;0.0;0.0;0.0;-1.251.362.026.718.700;24/1/20;-1251
1.0;19.0;9.0;25.0;2.0;9.0;0.0;0.0;0.0;21.489.256.836.513.700;25/1/20;21489
2.0;19.0;6.0;27.0;2.0;10.0;0.0;0.0;0.0;4.140.106.633.356.490;26/1/20;4140
1.0;17.0;4.0;25.0;4.0;10.0;0.0;0.0;0.0;-43.127.713.907.483.400;27/1/20;-43128
1.0;17.0;4.0;23.0;5.0;8.0;0.0;0.0;0.0;-6.384.255.516.455.370;28/1/20;-6384
4.0;20.0;4.0;21.0;4.0;8.0;0.0;0.0;0.0;10.298.702.072.904.700;29/1/20;10299
1.0;15.0;4.0;23.0;4.0;11.0;0.0;0.0;0.0;-7.060.078.521.473.340;30/1/20;-7060
3.0;15.0;5.0;20.0;4.0;9.0;0.0;0.0;0.0;-50.013.983.609.655.800;31/1/20;-50014
16.0;19.0;4.0;20.0;5.0;10.0;0.0;0.0;0.0;5.589.524.111.861.620;1/2/20;5590
10.0;25.0;4.0;22.0;5.0;11.0;0.0;0.0;0.0;2.203.868.264.391.890;2/2/20;2204
11.0;12.0;4.0;23.0;4.0;9.0;0.0;0.0;0.0;-17.594.610.554.287.800;3/2/20;-17595
9.0;18.0;5.0;23.0;4.0;12.0;0.0;0.0;0.0;144.285.367.145.907;4/2/20;144
6.0;14.0;8.0;19.0;3.0;8.0;0.0;0.0;0.0;-758.546.615.940.236;5/2/20;-759
9.0;15.0;5.0;20.0;6.0;10.0;0.0;0.0;0.0;-12.705.021.079.587.700;6/2/20;-12705
16.0;18.0;3.0;20.0;3.0;7.0;0.0;0.0;0.0;10.608.566.410.956.500;7/2/20;10609
9.0;16.0;6.0;23.0;4.0;10.0;0.0;0.0;0.0;-7.439.671.869.089.210;8/2/20;-7440
3.0;22.0;2.0;21.0;3.0;9.0;0.0;0.0;0.0;2.429.020.836.720.040;9/2/20;2429
22.0;14.0;5.0;23.0;5.0;11.0;0.0;0.0;0.0;-1.585.266.560.736.910;10/2/20;-1585
13.0;13.0;5.0;24.0;2.0;7.0;0.0;0.0;0.0;-10.290.790.628.370.000;11/2/20;-10291
23.0;19.0;4.0;19.0;3.0;7.0;0.0;0.0;0.0;13.796.095.224.562.900;12/2/20;13796
24.0;11.0;4.0;16.0;4.0;10.0;0.0;0.0;0.0;-9.496.986.709.794.440;13/2/20;-9497
19.0;13.0;6.0;19.0;3.0;10.0;0.0;0.0;0.0;-6.689.585.848.156.010;14/2/20;-6690
35.0;17.0;5.0;19.0;5.0;11.0;0.0;0.0;0.0;-208.618.216.455.107;15/2/20;-209
23.0;16.0;3.0;24.0;3.0;10.0;0.0;0.0;0.0;-3.193.007.205.481.610;16/2/20;-3193
27.0;14.0;5.0;18.0;4.0;10.0;0.0;0.0;0.0;-4.581.386.123.172.730;17/2/20;-4581
27.0;14.0;5.0;19.0;4.0;10.0;0.0;0.0;0.0;-6.116.908.444.512.840;18/2/20;-6117
17.0;13.0;5.0;19.0;3.0;7.0;0.0;0.0;0.0;-6.723.133.862.795.830;19/2/20;-6723
53.0;15.0;6.0;19.0;5.0;13.0;0.0;0.0;0.0;-7.025.995.902.481.480;20/2/20;-7026
59.0;14.0;5.0;14.0;3.0;7.0;0.0;0.0;0.0;4.121.797.112.422.580;21/2/20;4122
58.0;14.0;3.0;20.0;3.0;11.0;0.0;1.0;0.0;18.556.960.704.995.200;22/2/20;18557
73.0;12.0;6.0;16.0;2.0;12.0;0.0;1.0;0.0;17.434.497.948.261.900;23/2/20;17434
107.0;20.0;4.0;21.0;1.0;6.0;0.0;7.0;0.0;345.548.076.226.699;24/2/20;346
129.0;17.0;5.0;21.0;4.0;8.0;0.0;3.0;0.0;4.835.208.928.376.920;25/2/20;4835
146.0;16.0;7.0;38.0;3.0;9.0;0.0;8.0;0.0;-13.584.077.455.206.900;26/2/20;-13584
180.0;14.0;4.0;23.0;4.0;7.0;0.0;2.0;0.0;-8.590.027.186.328.170;27/2/20;-8590
318.0;17.0;5.0;28.0;3.0;9.0;0.0;2.0;0.0;-3.138.464.795.339.540;28/2/20;-3138
243.0;16.0;7.0;27.0;3.0;10.0;1.0;2.0;0.0;-3.161.593.364.663.150;29/2/20;-3162
690.0;16.0;5.0;23.0;5.0;9.0;0.0;1.0;0.0;-8.699.341.518.501.900;1/3/20;-8699
801.0;18.0;4.0;21.0;4.0;11.0;0.0;5.0;0.0;14.769.220.622.222.700;2/3/20;14769
801.0;18.0;5.0;25.0;4.0;7.0;0.0;3.0;0.0;13.441.520.479.038.400;3/3/20;13442
954.0;19.0;7.0;22.0;2.0;11.0;0.0;2.0;1.0;15.839.608.591.709.600;4/3/20;15840
1284.0;17.0;7.0;26.0;4.0;10.0;2.0;3.0;0.0;34.055.600.298.878.700;5/3/20;34056
1628.0;17.0;3.0;21.0;3.0;8.0;0.0;3.0;0.0;11.975.789.522.006.400;6/3/20;11976
1868.0;14.0;5.0;27.0;3.0;10.0;0.0;1.0;0.0;-12.439.872.895.014.900;7/3/20;-12440
