casos,tos,dolor de garganta,fiebre,cansancio,dolor de cabeza,tengo covid,sintomas covid,test covid,prediction,fecha
1.0,27.0,4.0,17.0,2.0,12.0,0.0,0.0,0.0,4889.708447466463,1/1/20
0.0,16.0,4.0,17.0,2.0,5.0,0.0,0.0,0.0,1044.256267555492,2/1/20
1.0,23.0,7.0,19.0,3.0,6.0,0.0,0.0,0.0,2140.314710624896,3/1/20
0.0,21.0,4.0,18.0,2.0,7.0,0.0,0.0,0.0,2577.6211124065026,4/1/20
0.0,16.0,5.0,15.0,2.0,10.0,0.0,0.0,0.0,1457.9729260135919,5/1/20
0.0,19.0,5.0,15.0,3.0,5.0,0.0,0.0,0.0,1739.0297706410784,6/1/20
0.0,18.0,6.0,17.0,1.0,7.0,0.0,0.0,0.0,1888.9104428474634,7/1/20
0.0,17.0,5.0,19.0,3.0,8.0,0.0,0.0,0.0,646.2430574906064,8/1/20
0.0,19.0,5.0,17.0,2.0,10.0,0.0,0.0,0.0,2101.064272300925,9/1/20
1.0,15.0,4.0,17.0,3.0,9.0,0.0,0.0,0.0,523.0436320432674,10/1/20
1.0,22.0,5.0,21.0,3.0,13.0,0.0,0.0,0.0,2180.9417592967493,11/1/20
1.0,20.0,4.0,22.0,4.0,10.0,0.0,0.0,0.0,979.5753678825549,12/1/20
2.0,17.0,2.0,21.0,5.0,9.0,0.0,0.0,0.0,23.370184235856755,13/1/20
0.0,14.0,4.0,20.0,3.0,7.0,0.0,0.0,0.0,-357.60239393664665,14/1/20
1.0,18.0,5.0,19.0,4.0,7.0,0.0,0.0,0.0,500.350813866713,15/1/20
1.0,14.0,3.0,22.0,4.0,5.0,0.0,0.0,0.0,-1027.428447418233,16/1/20
1.0,17.0,5.0,18.0,3.0,8.0,0.0,0.0,0.0,799.7952896246175,17/1/20
2.0,17.0,6.0,18.0,3.0,12.0,0.0,0.0,0.0,854.7787874516459,18/1/20
0.0,18.0,4.0,28.0,3.0,7.0,0.0,0.0,0.0,-319.09250360159626,19/1/20
3.0,15.0,3.0,18.0,4.0,7.0,0.0,0.0,0.0,6.769810695692087,20/1/20
