fecha,Index,casos,casos_5,casos_10,tos,dolor de garganta,fiebre,cansancio,dolor de cabeza,suma_keys_sintomas,tengo covid,sintomas covid,test covid,suma_keys_preguntas
1/1/20,1,1,0,1,27,4,17,2,12,62,0,0,0,0
2/1/20,2,0,0,1,16,4,17,2,5,44,0,0,0,0
3/1/20,3,1,0,1,23,7,19,3,6,58,0,0,0,0
4/1/20,4,0,0,2,21,4,18,2,7,52,0,0,0,0
5/1/20,5,0,0,0,16,5,15,2,10,48,0,0,0,0
6/1/20,6,0,1,1,19,5,15,3,5,47,0,0,0,0
7/1/20,7,0,1,1,18,6,17,1,7,49,0,0,0,0
8/1/20,8,0,1,1,17,5,19,3,8,52,0,0,0,0
9/1/20,9,0,2,2,19,5,17,2,10,53,0,0,0,0
10/1/20,10,1,0,0,15,4,17,3,9,48,0,0,0,0
11/1/20,11,1,1,3,22,5,21,3,13,64,0,0,0,0
12/1/20,12,1,1,0,20,4,22,4,10,60,0,0,0,0
13/1/20,13,2,1,0,17,2,21,5,9,54,0,0,0,0
14/1/20,14,0,2,2,14,4,20,3,7,48,0,0,0,0
15/1/20,15,1,0,2,18,5,19,4,7,53,0,0,0,0
16/1/20,16,1,3,1,14,3,22,4,5,48,0,0,0,0
17/1/20,17,1,0,2,17,5,18,3,8,51,0,0,0,0
18/1/20,18,2,0,1,17,6,18,3,12,56,0,0,0,0
19/1/20,19,0,2,1,18,4,28,3,7,60,0,0,0,0
20/1/20,20,3,2,4,15,3,18,4,7,47,0,0,0,0
21/1/20,21,0,1,1,16,6,22,1,7,52,0,0,0,0
22/1/20,22,0,2,3,15,3,19,2,6,45,0,0,0,0
23/1/20,23,2,1,16,18,4,19,4,10,55,0,0,0,0
24/1/20,24,2,1,10,16,7,23,2,9,57,0,0,0,0
25/1/20,25,1,4,11,19,9,25,2,9,64,0,0,0,0
26/1/20,26,2,1,9,19,6,27,2,10,64,0,0,0,0
27/1/20,27,1,3,6,17,4,25,4,10,60,0,0,0,0
28/1/20,28,1,16,9,17,4,23,5,8,57,0,0,0,0
29/1/20,29,4,10,16,20,4,21,4,8,57,0,0,0,0
30/1/20,30,1,11,9,15,4,23,4,11,57,0,0,0,0
31/1/20,31,3,9,3,15,5,20,4,9,53,0,0,0,0
1/2/20,32,16,6,22,19,4,20,5,10,58,0,0,0,0
2/2/20,33,10,9,13,25,4,22,5,11,67,0,0,0,0
3/2/20,34,11,16,23,12,4,23,4,9,52,0,0,0,0
4/2/20,35,9,9,24,18,5,23,4,12,62,0,0,0,0
5/2/20,36,6,3,19,14,8,19,3,8,52,0,0,0,0
6/2/20,37,9,22,35,15,5,20,6,10,56,0,0,0,0
7/2/20,38,16,13,23,18,3,20,3,7,51,0,0,0,0
8/2/20,39,9,23,27,16,6,23,4,10,59,0,0,0,0
9/2/20,40,3,24,27,22,2,21,3,9,57,0,0,0,0
10/2/20,41,22,19,17,14,5,23,5,11,58,0,0,0,0
11/2/20,42,13,35,53,13,5,24,2,7,51,0,0,0,0
