fecha;casos
1/1/20;1
2/1/20;0
3/1/20;1
4/1/20;0
5/1/20;0
6/1/20;0
7/1/20;0
8/1/20;0
9/1/20;0
10/1/20;1
11/1/20;1
12/1/20;1
13/1/20;2
14/1/20;0
15/1/20;1
16/1/20;1
17/1/20;1
18/1/20;2
19/1/20;0
20/1/20;3
21/1/20;0
22/1/20;0
23/1/20;2
24/1/20;2
25/1/20;1
26/1/20;2
27/1/20;1
28/1/20;1
29/1/20;4
30/1/20;1
31/1/20;3
1/2/20;16
2/2/20;10
3/2/20;11
4/2/20;9
5/2/20;6
6/2/20;9
7/2/20;16
8/2/20;9
9/2/20;3
10/2/20;22
11/2/20;13
12/2/20;23
13/2/20;24
14/2/20;19
15/2/20;35
16/2/20;23
17/2/20;27
18/2/20;27
19/2/20;17
20/2/20;53
21/2/20;59
22/2/20;58
23/2/20;73
24/2/20;107
25/2/20;129
26/2/20;146
27/2/20;180
28/2/20;317
29/2/20;243
1/3/20;689
2/3/20;801
3/3/20;800
4/3/20;954
5/3/20;1284
6/3/20;1625
7/3/20;1867
8/3/20;2191
9/3/20;3407
10/3/20;4666
11/3/20;4741
12/3/20;5943
13/3/20;7806
14/3/20;7468
15/3/20;7936
16/3/20;9474
17/3/20;8838
18/3/20;8970
19/3/20;8663
20/3/20;10662
21/3/20;7426
22/3/20;6776
23/3/20;8265
24/3/20;7127
25/3/20;6947
26/3/20;6360
27/3/20;6062
28/3/20;5363
29/3/20;4245
30/3/20;5155
31/3/20;4418
1/4/20;5491
2/4/20;4451
3/4/20;4464
4/4/20;3669
5/4/20;3220
6/4/20;3536
7/4/20;3203
8/4/20;3480
9/4/20;3289
10/4/20;3179
11/4/20;2887
12/4/20;2266
13/4/20;2200
14/4/20;2270
15/4/20;2387
16/4/20;2297
17/4/20;1917
18/4/20;1680
19/4/20;1153
20/4/20;1490
21/4/20;1338
22/4/20;1481
23/4/20;1190
24/4/20;1135
25/4/20;764
26/4/20;564
27/4/20;709
28/4/20;866
29/4/20;758
30/4/20;756
1/5/20;741
2/5/20;670
3/5/20;459
4/5/20;524
5/5/20;324
6/5/20;310
7/5/20;311
8/5/20;325
9/5/20;280
10/5/20;286
11/5/20;589
12/5/20;537
13/5/20;587
14/5/20;531
15/5/20;588
16/5/20;340
17/5/20;305
18/5/20;559
19/5/20;588
20/5/20;483
21/5/20;519
22/5/20;567
23/5/20;337
24/5/20;315
25/5/20;567
26/5/20;566
27/5/20;430
28/5/20;518
29/5/20;499
30/5/20;318
31/5/20;232
1/6/20;437
2/6/20;406
3/6/20;447
4/6/20;404
5/6/20;485
6/6/20;262
7/6/20;236
8/6/20;421
9/6/20;360
10/6/20;367
11/6/20;329
12/6/20;373
13/6/20;165
14/6/20;190
15/6/20;329
16/6/20;308
17/6/20;304
18/6/20;308
19/6/20;294
20/6/20;276
21/6/20;251
22/6/20;324
23/6/20;356
24/6/20;408
25/6/20;370
26/6/20;413
27/6/20;322
28/6/20;280
29/6/20;422
30/6/20;459
1/7/20;572
2/7/20;443
3/7/20;576
4/7/20;461
