fecha,casos,tos,dolor de garganta,fiebre,cansancio,dolor de cabeza,suma_keys_sintomas,IF,tengo covid,sintomas covid,test covid,suma_keys_preguntas,depresion,ansiedad,suma_keys_consequencias
1/1/20,1,18,3,16,3,9,49,0,0,0,0,0,20,45,65
2/1/20,0,14,4,14,2,8,42,-7,0,0,0,0,23,53,76
3/1/20,1,21,8,16,4,4,53,11,0,0,0,0,27,42,69
4/1/20,0,18,4,14,2,7,45,-8,0,0,0,0,24,49,73
5/1/20,0,12,4,13,1,9,39,-6,0,0,0,0,28,49,77
6/1/20,0,15,6,17,1,9,48,9,0,0,0,0,23,44,67
7/1/20,0,16,2,18,1,6,43,-5,0,0,0,0,27,37,64
8/1/20,0,16,4,18,3,11,52,9,0,0,0,0,26,45,71
9/1/20,0,18,6,18,1,6,49,-3,0,0,0,0,36,55,91
10/1/20,1,13,2,19,5,8,47,-2,0,0,0,0,28,62,90
11/1/20,1,20,5,20,2,11,58,11,0,0,0,0,15,52,67
12/1/20,1,18,2,23,3,11,57,-1,0,0,0,0,19,38,57
13/1/20,2,14,3,21,3,9,50,-7,0,0,0,0,30,41,71
14/1/20,0,15,2,24,1,7,49,-1,0,0,0,0,23,65,88
15/1/20,1,19,5,17,6,6,53,4,0,0,0,0,6,47,53
16/1/20,1,16,5,22,3,8,54,1,0,0,0,0,27,44,71
17/1/20,1,16,4,16,2,6,44,-10,0,0,0,0,26,57,83
18/1/20,2,17,6,13,4,15,55,11,0,0,0,0,17,42,59
19/1/20,0,20,4,29,3,10,66,11,0,0,0,0,21,61,82
20/1/20,3,14,2,21,4,7,48,-18,0,0,0,0,21,63,84
21/1/20,0,14,5,21,2,6,48,0,0,0,0,0,21,60,81
22/1/20,0,9,3,21,2,5,40,-8,0,0,0,0,22,56,78
23/1/20,2,17,2,18,3,8,48,8,0,0,0,0,23,59,82
24/1/20,2,17,4,24,3,8,56,8,0,0,0,0,27,42,69
25/1/20,1,20,8,28,4,9,69,13,0,0,0,0,22,43,65
26/1/20,2,22,4,29,1,10,66,-3,0,0,0,0,36,53,89
27/1/20,1,15,4,21,2,8,50,-16,0,0,0,0,24,57,81
28/1/20,1,16,5,24,3,7,55,5,0,0,0,0,32,68,100
