country_region_code;country_region;sub_region_1;sub_region_2;metro_area;iso_3166_2_code;census_fips_code;place_id;date;retail_and_recreation_percent_change_from_baseline;grocery_and_pharmacy_percent_change_from_baseline;parks_percent_change_from_baseline;transit_stations_percent_change_from_baseline;workplaces_percent_change_from_baseline;residential_percent_change_from_baseline
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;15/2/20;2;-1;26;8;0;-2
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;16/2/20;2;3;13;5;-1;-2
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;17/2/20;0;1;9;3;3;-1
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;18/2/20;-2;0;5;4;3;0
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;19/2/20;0;1;11;2;3;-1
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;20/2/20;1;1;15;5;3;-1
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;21/2/20;1;2;20;6;2;-2
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;22/2/20;2;2;44;14;2;-2
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;23/2/20;7;10;33;11;1;-3
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;24/2/20;5;3;36;4;-7;0
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;25/2/20;-2;-1;17;3;-6;1
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;26/2/20;0;4;11;1;0;0
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;27/2/20;4;8;16;6;1;-2
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;28/2/20;-1;-7;33;2;-11;0
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;29/2/20;-1;4;19;6;-1;-1
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;1/3/20;2;6;6;5;1;-2
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;2/3/20;-3;1;-7;-3;-3;1
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;3/3/20;-3;3;-3;1;3;0
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;4/3/20;0;4;9;2;3;0
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;5/3/20;-1;2;2;0;2;0
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;6/3/20;-2;2;0;0;-1;0
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;7/3/20;-1;1;17;4;1;-1
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;8/3/20;4;7;19;8;1;-2
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;9/3/20;-1;4;12;0;3;-1
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;10/3/20;-3;18;12;-1;2;0
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;11/3/20;-5;17;17;-9;-2;1
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;12/3/20;-13;27;1;-16;-5;3
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;13/3/20;-33;33;-22;-32;-17;8
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;14/3/20;-69;-8;-44;-52;-31;14
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;15/3/20;-87;-49;-76;-71;-48;17
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;16/3/20;-80;-33;-72;-71;-52;23
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;17/3/20;-83;-39;-73;-74;-59;25
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;18/3/20;-84;-36;-73;-76;-60;26
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;19/3/20;-88;-58;-77;-80;-71;31
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;20/3/20;-87;-39;-79;-80;-66;32
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;21/3/20;-92;-53;-87;-84;-63;26
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;22/3/20;-94;-73;-89;-87;-65;22
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;23/3/20;-85;-46;-77;-81;-65;28
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;24/3/20;-87;-50;-79;-81;-67;29
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;25/3/20;-87;-51;-78;-82;-67;30
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;26/3/20;-87;-52;-78;-82;-68;30
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;27/3/20;-88;-49;-80;-83;-68;33
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;28/3/20;-92;-57;-86;-86;-64;26
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;29/3/20;-94;-76;-89;-88;-64;22
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;30/3/20;-89;-55;-80;-84;-74;31
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;31/3/20;-92;-55;-82;-84;-76;32
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;1/4/20;-92;-53;-81;-84;-75;33
