Location,Date,Sum of retail_and_recreation_percent_change_from_baseline,Sum of grocery_and_pharmacy_percent_change_from_baseline,Sum of parks_percent_change_from_baseline,Sum of transit_stations_percent_change_from_baseline,Sum of workplaces_percent_change_from_baseline,Sum of residential_percent_change_from_baseline,Sum,Inverted_sum
ES,15/2/20,225,-54,1731,521,13,-117,2319,-2319
ES,16/2/20,220,69,1007,560,-26,-128,1702,-1702
ES,17/2/20,-50,106,374,239,251,-51,869,-869
ES,18/2/20,-66,-39,508,131,250,-41,743,-743
ES,19/2/20,-16,-6,818,139,230,-48,1117,-1117
ES,20/2/20,108,53,1107,459,165,-74,1818,-1818
ES,21/2/20,119,32,1538,759,87,-109,2426,-2426
ES,22/2/20,393,79,3396,1216,198,-157,5125,-5125
ES,23/2/20,782,829,2589,1439,167,-214,5592,-5592
ES,24/2/20,413,254,2664,596,-614,-28,3285,-3285
ES,25/2/20,-49,-263,1486,292,-705,58,819,-819
ES,26/2/20,-61,155,752,158,-152,1,853,-853
ES,27/2/20,216,411,952,486,34,-66,2033,-2033
ES,28/2/20,103,-332,2181,392,-485,-2,1857,-1857
ES,29/2/20,158,303,1193,499,-16,-43,2094,-2094
ES,1/3/20,231,250,262,601,115,-92,1367,-1367
ES,2/3/20,-169,144,-486,153,17,29,-312,312
ES,3/3/20,-162,71,-100,-65,215,-12,-53,53
ES,4/3/20,-21,172,641,99,195,-25,1061,-1061
ES,5/3/20,-86,48,89,62,62,10,185,-185
ES,6/3/20,-113,16,-86,63,-44,29,-135,135
ES,7/3/20,57,7,1009,210,57,-41,1299,-1299
ES,8/3/20,310,249,1226,616,119,-102,2418,-2418
ES,9/3/20,-90,225,716,175,225,-51,1200,-1200
ES,10/3/20,-83,872,1181,56,193,-64,2155,-2155
ES,11/3/20,-184,908,1439,-127,84,-21,2099,-2099
ES,12/3/20,-626,1599,278,-518,-85,65,713,-713
ES,13/3/20,-2006,1827,-1269,-1583,-801,395,-3437,3437
ES,14/3/20,-4156,-617,-2601,-2814,-1768,776,-11180,11180
ES,15/3/20,-5453,-3343,-4614,-4246,-2933,993,-19596,19596
ES,16/3/20,-5028,-2117,-4328,-4272,-3044,1271,-17518,17518
ES,17/3/20,-5192,-2560,-4336,-4472,-3445,1403,-18602,18602
ES,18/3/20,-5224,-2404,-4286,-4582,-3561,1453,-18604,18604
ES,19/3/20,-5496,-3882,-4589,-4911,-4286,1771,-21393,21393
ES,20/3/20,-5445,-2595,-4762,-4904,-3929,1867,-19768,19768
ES,21/3/20,-5759,-3496,-5325,-5094,-3828,1569,-21933,21933
ES,22/3/20,-5892,-4805,-5488,-5329,-4019,1335,-24198,24198
ES,23/3/20,-5300,-2928,-4566,-4871,-3826,1543,-19948,19948
ES,24/3/20,-5404,-3273,-4613,-4852,-3960,1611,-20491,20491
ES,25/3/20,-5432,-3331,-4621,-4946,-3995,1660,-20665,20665
ES,26/3/20,-5450,-3364,-4659,-4898,-4041,1708,-20704,20704
ES,27/3/20,-5525,-3226,-4858,-5090,-4022,1928,-20793,20793
ES,28/3/20,-5778,-3720,-5290,-5107,-3880,1569,-22206,22206
ES,29/3/20,-5894,-4954,-5471,-5307,-3925,1313,-24238,24238
ES,30/3/20,-5560,-3499,-4811,-5094,-4389,1739,-21614,21614
ES,31/3/20,-5822,-3513,-4941,-5093,-4534,1822,-22081,22081
ES,1/4/20,-5820,-3420,-4855,-5076,-4505,1847,-21829,21829
ES,2/4/20,-5783,-3361,-4839,-5090,-4513,1892,-21694,21694
ES,3/4/20,-5599,-3165,-4941,-5173,-4446,2080,-21244,21244
ES,4/4/20,-5792,-3648,-5309,-5201,-3972,1600,-22322,22322
ES,5/4/20,-5928,-4949,-5510,-5354,-4148,1363,-24526,24526
ES,6/4/20,-5457,-3243,-4712,-5052,-4410,1742,-21132,21132
ES,7/4/20,-5559,-2649,-4677,-4992,-4434,1734,-20577,20577
ES,8/4/20,-5503,-2072,-4586,-4950,-4426,1690,-19847,19847
ES,9/4/20,-5855,-4710,-5066,-5270,-5276,2107,-24070,24070
ES,10/4/20,-6050,-5790,-5398,-5586,-5527,2508,-25843,25843
ES,11/4/20,-5799,-2933,-5264,-5037,-3862,1565,-21330,21330
ES,12/4/20,-5948,-4676,-5471,-5425,-4061,1355,-24226,24226
ES,13/4/20,-5626,-4036,-4720,-5082,-4532,1794,-22202,22202
ES,14/4/20,-5443,-2748,-4432,-4804,-3990,1581,-19836,19836
ES,15/4/20,-5501,-3025,-4591,-4861,-4012,1671,-20319,20319
ES,16/4/20,-5486,-3075,-4536,-4866,-4015,1700,-20278,20278
ES,17/4/20,-5566,-3038,-4706,-4969,-3974,1914,-20339,20339
ES,18/4/20,-5810,-3482,-5194,-5162,-3676,1543,-21781,21781
ES,19/4/20,-5927,-4744,-5462,-5289,-3946,1339,-24029,24029
ES,20/4/20,-5418,-3402,-4414,-4812,-3882,1566,-20362,20362
ES,21/4/20,-5434,-3167,-4536,-4836,-3888,1601,-20260,20260
ES,22/4/20,-5417,-2947,-4382,-4853,-3866,1603,-19862,19862
ES,23/4/20,-5514,-3638,-4473,-5007,-4196,1742,-21086,21086
ES,24/4/20,-5502,-2844,-4558,-4934,-3887,1851,-19874,19874
ES,25/4/20,-5766,-3335,-5164,-5191,-3585,1522,-21519,21519
ES,26/4/20,-5764,-4201,-4807,-5147,-3744,1277,-22386,22386
ES,27/4/20,-5275,-3089,-3850,-4583,-3713,1498,-19012,19012
ES,28/4/20,-5280,-2881,-3738,-4571,-3762,1497,-18735,18735
ES,29/4/20,-5265,-2607,-3726,-4585,-3726,1528,-18381,18381
ES,30/4/20,-5146,-1891,-3730,-4537,-3726,1493,-17537,17537
ES,1/5/20,-5878,-5558,-4541,-5346,-5294,2369,-24248,24248
ES,2/5/20,-5288,-1975,-2675,-3924,-3177,1268,-15771,15771
ES,3/5/20,-5211,-2511,-2620,-3988,-3115,1045,-16400,16400
ES,4/5/20,-4683,-2124,-1400,-3672,-3385,1246,-14018,14018
ES,5/5/20,-4701,-2020,-1215,-3636,-3389,1246,-13715,13715
ES,6/5/20,-4714,-2046,-1137,-3681,-3369,1284,-13663,13663
ES,7/5/20,-4749,-2082,-1494,-3795,-3387,1320,-14187,14187
ES,8/5/20,-4937,-2186,-2298,-3980,-3330,1540,-15191,15191
ES,9/5/20,-5270,-2402,-3098,-4053,-2827,1245,-16405,16405
ES,10/5/20,-5425,-3308,-3826,-4522,-3088,1126,-19043,19043
ES,11/5/20,-4076,-1686,-1022,-3243,-2968,1066,-11929,11929
ES,12/5/20,-4317,-1824,-1915,-3551,-3038,1171,-13474,13474
ES,13/5/20,-4262,-1718,-1366,-3446,-3035,1178,-12649,12649
ES,14/5/20,-4415,-1855,-2467,-3810,-3086,1267,-14366,14366
ES,15/5/20,-4444,-1700,-2195,-3741,-3062,1412,-13730,13730
ES,16/5/20,-4701,-1864,-2305,-3530,-2316,1010,-13706,13706
ES,17/5/20,-4590,-2130,-1860,-3626,-2216,789,-13633,13633
ES,18/5/20,-3524,-1399,327,-2913,-2691,927,-9273,9273
ES,19/5/20,-3551,-1334,361,-2935,-2719,930,-9248,9248
ES,20/5/20,-3500,-1233,210,-3015,-2718,973,-9283,9283
ES,21/5/20,-3498,-1155,-60,-3041,-2755,1003,-9506,9506
ES,22/5/20,-3664,-1166,-687,-3223,-2611,1115,-10236,10236
ES,23/5/20,-4022,-1385,-1307,-3078,-1666,743,-10715,10715
ES,24/5/20,-4067,-1728,-1462,-3433,-1611,585,-11716,11716
ES,25/5/20,-2643,-980,644,-2644,-2487,792,-7318,7318
ES,26/5/20,-2693,-972,1009,-2652,-2380,781,-6907,6907
ES,27/5/20,-2693,-916,1096,-2595,-2363,795,-6676,6676
ES,28/5/20,-2663,-802,982,-2624,-2385,808,-6684,6684
ES,29/5/20,-2855,-810,429,-2781,-2300,876,-7441,7441
ES,30/5/20,-3172,-998,80,-2497,-954,428,-7113,7113
ES,31/5/20,-3530,-1373,-1037,-3189,-918,412,-9635,9635
ES,1/6/20,-2224,-820,1028,-2404,-2240,707,-5953,5953
ES,2/6/20,-2263,-700,1087,-2337,-2131,689,-5655,5655
ES,3/6/20,-2373,-670,279,-2452,-2143,748,-6611,6611
ES,4/6/20,-2432,-659,-507,-2584,-2201,808,-7575,7575
ES,5/6/20,-2249,-662,505,-2523,-2011,756,-6184,6184
ES,6/6/20,-2693,-895,-193,-2389,-727,408,-6489,6489
ES,7/6/20,-3215,-1281,-1289,-3144,-786,433,-9282,9282
ES,8/6/20,-1765,-616,274,-2258,-2009,644,-5730,5730
ES,9/6/20,-1830,-821,899,-2245,-2053,630,-5420,5420
ES,10/6/20,-1731,-537,1152,-2136,-1980,601,-4631,4631
ES,11/6/20,-2014,-1075,-168,-2606,-2265,748,-7380,7380
ES,12/6/20,-2040,-598,-486,-2647,-2011,762,-7020,7020
ES,13/6/20,-2186,-820,383,-2231,-387,318,-4923,4923
ES,14/6/20,-2483,-959,239,-2710,-130,210,-5833,5833
ES,15/6/20,-1409,-584,1360,-2068,-1823,529,-3995,3995
ES,16/6/20,-1549,-602,666,-2199,-1846,594,-4936,4936
ES,17/6/20,-1484,-515,1308,-2034,-1828,566,-3987,3987
ES,18/6/20,-1416,-526,1373,-2087,-1851,543,-3964,3964
ES,19/6/20,-1634,-584,1248,-2222,-1760,527,-4425,4425
ES,20/6/20,-1976,-732,1646,-1950,-168,139,-3041,3041
ES,21/6/20,-2000,-330,1279,-2232,90,-4,-3197,3197
ES,22/6/20,-928,-266,2782,-1554,-1853,345,-1474,1474
ES,23/6/20,-872,58,3356,-1453,-1829,242,-498,498
ES,24/6/20,-1539,-1371,3156,-1926,-2466,503,-3643,3643
ES,25/6/20,-968,-39,1946,-1577,-1813,377,-2074,2074
ES,26/6/20,-1143,-80,2088,-1550,-1737,357,-2065,2065
ES,27/6/20,-1406,-358,2778,-1152,-303,18,-423,423
ES,28/6/20,-1583,2,1779,-1598,346,-125,-1179,1179
ES,29/6/20,-652,-310,3022,-1336,-1768,275,-769,769
ES,30/6/20,-652,-130,3098,-1380,-1617,254,-427,427
ES,1/7/20,-691,-84,2647,-1233,-1692,267,-786,786
ES,2/7/20,-636,70,2392,-1268,-1739,293,-888,888
ES,3/7/20,-855,-23,2707,-1296,-1660,250,-877,877
ES,4/7/20,-1186,-332,3448,-929,-144,-62,795,-795
ES,5/7/20,-1146,781,2364,-1285,318,-211,821,-821
ES,6/7/20,-391,60,3538,-1034,-1762,213,624,-624
ES,7/7/20,-534,-140,4280,-1042,-1785,203,982,-982
ES,8/7/20,-643,-124,3883,-1115,-1693,231,539,-539
ES,9/7/20,-608,-68,3606,-1125,-1726,236,315,-315
ES,10/7/20,-936,-162,3007,-1255,-1678,238,-786,786
ES,11/7/20,-1269,-445,3538,-846,-77,-50,851,-851
ES,12/7/20,-1304,289,2032,-1175,350,-161,31,-31
ES,13/7/20,-369,-17,4570,-982,-1734,185,1653,-1653
ES,14/7/20,-523,-100,4339,-1076,-1752,208,1096,-1096
ES,15/7/20,-505,-37,4027,-1069,-1647,205,974,-974
ES,16/7/20,-504,-120,3960,-1113,-1737,227,713,-713
