CONTROLN,STATE,GENDER,HV1,IC1,IC4,HVP1,IC5,POBC1,POBC2,IC2,IC3,AVGGIFT,TCODE,DOB,DOMAIN,TARGET_D
119966,TX,F,321,225,281,0,9372,3,68,264,243,8.058823529,0,3212,T3,11.0
152470,CA,F,5725,610,807,97,53158,13,22,763,698,23.72727273,0,0,S1,45.0
48527,AL,Male,931,407,496,0,17743,0,65,502,439,4.416666667,2,0,R3,3.0
171528,CA,F,1895,317,471,46,17431,10,62,389,405,6.705882353,0,5501,R2,5.0
50122,Tennessee,F,715,318,370,2,12416,0,75,340,352,9.25,2,0,T1,10.0
92293,IL,F,3359,878,973,87,35266,16,74,897,934,5.8,0,2201,S1,5.0
47191,AL,F,950,264,378,3,20090,6,55,295,330,4.142857143,2,2601,C1,5.0
89288,IL,F,1243,414,507,9,15884,18,70,467,464,10.4,0,5308,S2,15.0
101676,MO,M,1162,529,612,7,18860,4,60,560,571,10.125,1,3405,C1,15.0
30051,GA,F,359,205,292,0,9279,0,90,260,250,9.0,0,4501,0,10.0
141500,NV,M,720,328,381,0,12646,9,19,357,358,11.6,0,7001,S2,18.0
21599,SC,M,1168,365,460,15,18128,1,68,430,403,5.0,1,0,T2,7.0
110789,LA,F,324,129,277,1,9585,0,91,204,226,8.2,2,2912,R2,15.0
139512,NM,M,828,318,416,2,14887,4,39,368,366,20.0,1,0,S1,20.0
142662,CA,F,1188,166,243,5,10014,10,34,218,194,8.333333333,28,2401,U3,10.0
82920,MN,F,915,469,566,0,17112,4,60,514,514,5.52631579,3,5601,S1,5.0
168186,CA,,2412,549,549,91,16642,17,55,534,564,20.0,0,0,U1,10.0
94503,IL,F,550,157,217,3,6493,16,56,173,215,12.5,0,6201,U4,10.0
167406,CA,F,4135,602,694,97,33830,7,60,608,665,7.0,0,2601,U1,7.0
170722,CA,F,2043,296,598,52,15530,10,56,569,399,13.8,0,4001,C1,20.0
101989,MO,F,523,314,350,0,11799,1,77,330,327,3.0625,0,2306,R2,5.0
66577,MI,F,2417,575,905,69,34152,17,43,835,693,10.5,2,2001,S2,10.0
33003,FL,F,831,242,333,1,19039,5,17,286,281,7.375,0,5201,C1,8.0
70216,MI,M,364,312,315,1,9474,3,76,335,293,9.25,1,0,S3,20.0
43086,FL,F,795,352,444,0,18613,6,12,406,397,7.333333333,28,2501,C2,20.0
122110,TX,U,408,254,324,0,8051,15,71,292,303,4.9375,0,6401,S3,10.0
