CONTROLN,STATE,GENDER,HV1,IC1,IC4,HVP1,IC5,POBC1,POBC2,IC2,IC3,AVGGIFT,TCODE,DOB,DOMAIN,TARGET_D
186307,CA,M,AAA1229,345,438,3,15915,2,58,388,417,16.14285714,1,2511,C2,20.0
34174,WV,F,529,198,291,0,10816,0,80,218,257,6.083333333,2,3001,T2,12.0
101388,MO,M,526,340,342,0,9687,0,89,348,321,5.8,1,5501,R2,10.0
159472,CA,F,621,231,279,0,6184,43,41,237,272,11.66666667,1,1512,R3,15.0
179143,WA,male,1688,496,564,35,22963,2,63,520,521,23.9,1,3709,T1,25.0
150799,CA,M,AAA1305,257,393,8,10990,19,51,275,376,7.625,1,0,U3,15.0
135983,AZ,,638,213,226,0,9836,0,26,236,220,4.652173913,1,3201,C3,7.0
22817,SC,F,451,211,264,0,7676,0,96,227,245,16.0,0,5009,R3,10.0
123972,TX,F,496,359,496,2,21791,2,74,405,462,5.857142857,0,1305,C2,5.0
81520,WI,F,428,215,308,0,10674,0,63,250,264,8.733333333,0,1710,R3,10.0
185309,MI,F,629,434,439,0,14381,6,69,444,445,5.2,2,3209,C2,7.0
6555,FL,M,3125,616,817,90,37628,42,15,759,714,6.098901099,1,1808,C1,10.0
20341,NC,M,1427,367,525,27,24023,3,36,435,456,7.230769231,0,4801,C1,3.0
30629,GA,F,680,248,383,0,15732,2,70,238,320,10.0,2,1401,C2,17.0
38392,FL,F,AAA1119,408,464,11,13050,67,26,415,452,20.0,0,3401,U2,20.0
122090,TX,M,405,279,381,0,10716,6,65,340,349,4.785714286,0,5009,S2,20.0
159623,WI,F,397,217,315,0,11627,1,84,294,259,9.8,28,4801,C2,20.0
103290,MO,M,736,617,761,0,25623,4,62,646,654,9.6,1,2601,C1,16.0
154745,CA,M,996,309,452,4,14797,2,60,419,382,10.0,1,4201,T2,5.0
184549,AK,Male,1040,507,590,0,21442,6,24,569,566,20.83333333,0,4301,C2,25.0
162494,CA,M,2375,435,514,88,17574,18,60,516,465,21.875,1,5601,S2,30.0
45873,FL,F,402,168,240,0,10003,8,17,251,199,6.538461539,0,1606,C3,8.0
14831,AR,Female,374,223,276,0,9291,2,73,242,254,8.785714286,0,0,R3,10.0
160610,CA,F,848,368,412,1,13741,7,39,397,392,15.0,28,0,R2,15.0
44243,FL,F,1603,308,525,38,24259,7,13,346,445,12.66666667,2,1601,C1,20.0
41537,FL,F,742,396,470,0,15356,7,37,424,450,14.28571429,2,6101,S2,50.0
56120,MS,female,518,330,393,0,14374,1,58,370,353,6.62962963,0,0,T3,15.0
15648,NC,female,2490,379,649,57,26456,5,54,459,546,8.954545455,2,0,C2,20.0
14608,CA,F,2556,490,744,88,40178,14,27,670,610,12.09090909,2,2601,T1,15.0
9053,CA,F,3081,446,510,89,15984,11,63,514,485,13.06666667,0,1708,S1,20.0
137971,AZ,Female,582,163,229,0,8173,3,40,193,188,20.0,0,2801,C3,25.0
83497,MN,F,375,167,265,0,9007,1,82,215,216,15.0,0,2801,U3,15.0
169640,CA,F,1248,371,401,3,13104,14,58,394,384,6.363636364,0,2201,0,8.0
