districtname,A4,A10,urbanpop
"Hl.m. Praha",1204953,100,1204953
Kladno,149893,67.4,101028
Kolin,95616,51.4,49147
"Kutna Hora",77963,51.5,40151
Melnik,94725,63.4,60056
"Mlada Boleslav",112065,69.4,77773
Nymburk,81344,55.3,44983
Pribram,107870,58,62565
"Ceske Budejovice",177686,74.8,132909
"Cesky Krumlov",58796,51.9,30515
"Jindrichuv Hradec",93931,56.9,53447
Pelhrimov,74062,61.4,45474
Pisek,70699,65.3,46166
Prachatice,51428,52.7,27103
Strakonice,70646,58.4,41257
Tabor,103347,67,69242
Domazlice,58400,52.4,30602
Cheb,87419,85.5,74743
"Karlovy Vary",122603,80,98082
Klatovy,88757,61.7,54763
"Plzen - mesto",170449,100,170449
Rokycany,45714,55.6,25417
Sokolov,94812,81.8,77556
Tachov,51313,59.2,30377
"Ceska Lipa",105058,81,85097
Decin,133777,84.7,113309
Chomutov,125236,87.7,109832
"Jablonec n. Nisou",88768,80.5,71458
Liberec,159617,85.2,135994
Litomerice,114006,62.3,71026
Louny,85852,59.8,51339
Most,119895,89.9,107786
Teplice,128118,85.3,109285
"Usti nad Labem",118650,85.6,101564
"Havlickuv Brod",95907,59.1,56681
"Hradec Kralove",161854,76.3,123495
Chrudim,105606,53,55971
Jicin,77917,53.5,41686
Nachod,112709,73.5,82841
Pardubice,162580,72.8,118358
"Rychnov nad Kneznou",78955,59,46583
Semily,75685,60.8,46016
Svitavy,102609,52,53357
Trutnov,121947,70.5,85973
"Usti nad Orlici",139012,61.9,86048
Blansko,107911,50.9,54927
"Brno - mesto",387570,100,387570
Jihlava,109164,63.6,69428
Kromeriz,108871,62.1,67609
Prostejov,110643,51.9,57424
Trebic,117897,53.8,63429
Vyskov,86513,50.5,43689
Zlin,197099,74.7,147233
Bruntal,106054,63.1,66920
"Frydek - Mistek",228848,57.2,130901
Karvina,285387,89.9,256563
"Novy Jicin",161227,69.7,112375
Olomouc,226122,62.6,141552
Opava,182027,56.4,102663
"Ostrava - mesto",323870,100,323870
Prerov,138032,64.6,89169
Sumperk,127369,51.2,65213
Vsetin,148545,53.5,79472
