A1,districtname,A4,A10,urbanpop
1,"Hl.m. Praha",1204953,100,1204953
4,Kladno,149893,67.4,101028
5,Kolin,95616,51.4,49147
6,"Kutna Hora",77963,51.5,40151
7,Melnik,94725,63.4,60056
8,"Mlada Boleslav",112065,69.4,77773
9,Nymburk,81344,55.3,44983
12,Pribram,107870,58,62565
14,"Ceske Budejovice",177686,74.8,132909
15,"Cesky Krumlov",58796,51.9,30515
16,"Jindrichuv Hradec",93931,56.9,53447
17,Pelhrimov,74062,61.4,45474
18,Pisek,70699,65.3,46166
19,Prachatice,51428,52.7,27103
20,Strakonice,70646,58.4,41257
21,Tabor,103347,67,69242
22,Domazlice,58400,52.4,30602
23,Cheb,87419,85.5,74743
24,"Karlovy Vary",122603,80,98082
25,Klatovy,88757,61.7,54763
26,"Plzen - mesto",170449,100,170449
29,Rokycany,45714,55.6,25417
30,Sokolov,94812,81.8,77556
31,Tachov,51313,59.2,30377
32,"Ceska Lipa",105058,81,85097
33,Decin,133777,84.7,113309
34,Chomutov,125236,87.7,109832
35,"Jablonec n. Nisou",88768,80.5,71458
36,Liberec,159617,85.2,135994
37,Litomerice,114006,62.3,71026
38,Louny,85852,59.8,51339
39,Most,119895,89.9,107786
40,Teplice,128118,85.3,109285
41,"Usti nad Labem",118650,85.6,101564
42,"Havlickuv Brod",95907,59.1,56681
43,"Hradec Kralove",161854,76.3,123495
44,Chrudim,105606,53,55971
45,Jicin,77917,53.5,41686
46,Nachod,112709,73.5,82841
47,Pardubice,162580,72.8,118358
48,"Rychnov nad Kneznou",78955,59,46583
49,Semily,75685,60.8,46016
50,Svitavy,102609,52,53357
51,Trutnov,121947,70.5,85973
52,"Usti nad Orlici",139012,61.9,86048
53,Blansko,107911,50.9,54927
54,"Brno - mesto",387570,100,387570
58,Jihlava,109164,63.6,69428
59,Kromeriz,108871,62.1,67609
60,Prostejov,110643,51.9,57424
61,Trebic,117897,53.8,63429
63,Vyskov,86513,50.5,43689
64,Zlin,197099,74.7,147233
67,Bruntal,106054,63.1,66920
68,"Frydek - Mistek",228848,57.2,130901
70,Karvina,285387,89.9,256563
71,"Novy Jicin",161227,69.7,112375
72,Olomouc,226122,62.6,141552
73,Opava,182027,56.4,102663
74,"Ostrava - mesto",323870,100,323870
75,Prerov,138032,64.6,89169
76,Sumperk,127369,51.2,65213
77,Vsetin,148545,53.5,79472
